Run_s,collection_day_s,description_s,nutrition_calcium_s,nutrition_calorie_s,nutrition_carb_s,nutrition_cholesterol_s,nutrition_fat_s,nutrition_fiber_s,nutrition_protein_s,nutrition_satfat_s,nutrition_sodium_s,nutrition_sugar_s
ERR531561,46,-101,930.9382892,2335.336294,387.180614,241.6268716,57.86443739,17.67010696,52.31903337,21.8882643,1743.573512,257.6591122
ERR531562,225,-101,0,0,0,0,0,0,0,0,0,0
ERR531563,75,-100,0,0,0,0,0,0,0,0,0,0
ERR531564,8,-200,0,0,0,0,0,0,0,0,0,0
ERR531565,114,-100,0,0,0,0,0,0,0,0,0,0
ERR531566,162,-100,672.8780005,2116.543022,353.2141094,150.8399963,42.18170005,19.02159991,81.3644993,14.28345646,1335.339986,182.7272601
ERR531567,282,-100,0,0,0,0,0,0,0,0,0,0
ERR531568,106,-200,0,0,0,0,0,0,0,0,0,0
ERR531569,288,-100,0,0,0,0,0,0,0,0,0,0
ERR531570,102,-200,0,0,0,0,0,0,0,0,0,0
ERR531571,359,-100,0,0,0,0,0,0,0,0,0,0
ERR531572,69,-200,0,0,0,0,0,0,0,0,0,0
ERR531573,66,-101,977.4666653,1818.960475,181.9985615,169.9942868,89.69798118,11.40890473,70.5497523,33.17331622,3074.968588,52.80595259
ERR531574,338,-100,0,0,0,0,0,0,0,0,0,0
ERR531575,213,-200,0,0,0,0,0,0,0,0,0,0
ERR531576,228,-200,0,0,0,0,0,0,0,0,0,0
ERR531577,78,-101,0,0,0,0,0,0,0,0,0,0
ERR531578,306,-100,0,0,0,0,0,0,0,0,0,0
ERR531579,31,-200,0,0,0,0,0,0,0,0,0,0
ERR531580,123,-100,239.4299951,1008.059999,149.8784001,285.26,28.45899979,9.5,44.23349936,13.86764004,2219.070002,54.67840004
ERR531581,117,-100,0,0,0,0,0,0,0,0,0,0
ERR531582,144,-100,658.9500008,3185.427521,529.9580338,270.1100006,51.37949972,28.62999976,117.3689992,15.39451,3316.510826,124.9595984
ERR531583,245,-101,0,0,0,0,0,0,0,0,0,0
ERR531584,228,-100,0,0,0,0,0,0,0,0,0,0
ERR531585,78,-100,0,0,0,0,0,0,0,0,0,0
ERR531586,249,-101,0,0,0,0,0,0,0,0,0,0
ERR531587,299,-100,0,0,0,0,0,0,0,0,0,0
ERR531588,17,-100,706.2813568,2081.447993,293.9068966,141.25,68.86648242,13.85333797,73.44456783,18.67191897,1770.815471,141.4285678
ERR531589,51,-200,0,0,0,0,0,0,0,0,0,0
ERR531590,198,-200,0,0,0,0,0,0,0,0,0,0
ERR531591,161,-101,636.506997,3225.741006,400.7691532,323.9940075,139.743849,19.91470077,100.3709508,58.58204286,5738.884131,210.13207
ERR531592,309,-100,0,0,0,0,0,0,0,0,0,0
ERR531593,289,-101,0,0,0,0,0,0,0,0,0,0
ERR531594,40,-100,866.166501,1564.984276,236.9236736,69.54999924,46.86165941,20.38394999,60.20377332,9.428866692,2192.265249,170.6804247
ERR531595,119,-100,0,0,0,0,0,0,0,0,0,0
ERR531596,160,-200,0,0,0,0,0,0,0,0,0,0
ERR531597,202,-101,224.7399998,1863.175008,241.7119026,295,64.0474,12,49.28439999,13.10474002,3830.1335,75.79710007
ERR531598,10,-100,604.1137238,1821.498302,286.683018,111.2761192,55.48702708,15.55307451,55.41155525,18.26331769,774.1913213,138.6228851
ERR531599,29,-100,819.6257381,2790.327927,338.760299,344.3340683,100.8396648,7.632000029,108.1236045,42.66029019,2000.032124,188.4818969
ERR531600,129,-200,0,0,0,0,0,0,0,0,0,0
ERR531601,159,-100,355.3499999,2282.110009,292.7992992,50,73.87740001,9.934999943,67.9296999,24.51517001,2794.729995,89.56400001
ERR531602,252,-200,0,0,0,0,0,0,0,0,0,0
ERR531603,216,-101,0,0,0,0,0,0,0,0,0,0
ERR531604,190,-100,213.6849995,2447.020823,278.9228669,350.635,73.48554941,17.61450001,86.37865049,30.9472051,1893.568897,100.6743175
ERR531605,73,-200,0,0,0,0,0,0,0,0,0,0
ERR531606,51,-100,557.9399972,2100.880011,249.7886026,286,69.6076998,37.94050168,102.8814516,24.15403001,2954.794999,88.02525195
ERR531607,148,-101,343.1299982,2220.03069,407.8157024,146.3599997,36.43799886,14.95299983,73.86829996,8.241000008,1599.136141,194.7396479
ERR531608,361,-101,0,0,0,0,0,0,0,0,0,0
ERR531609,147,-101,597.0700045,1990.940029,330.556206,417.6399994,38.75830042,15.14700001,81.89400238,7.459810108,2044.460007,174.8233996
ERR531610,313,-100,0,0,0,0,0,0,0,0,0,0
ERR531611,175,-101,502.6399999,1417.070004,203.7543011,132.5,46.7686,6.316000015,46.40950012,14.06557,2873.53,91.0395
ERR531612,89,-200,0,0,0,0,0,0,0,0,0,0
ERR531613,183,-200,0,0,0,0,0,0,0,0,0,0
ERR531614,101,-200,0,0,0,0,0,0,0,0,0,0
ERR531615,303,-101,0,0,0,0,0,0,0,0,0,0
ERR531616,140,-100,615.5200019,1164.699997,124.9838386,338.3600006,27.30676025,4.524799943,81.18267963,5.94418405,1851.09199,29.98059988
ERR531617,314,-101,0,0,0,0,0,0,0,0,0,0
ERR531618,3,-100,481.4224992,3048.030941,447.732461,163.3474998,117.7488035,24.26071861,65.86765957,41.49780266,2658.950011,238.8472483
ERR531619,176,-200,0,0,0,0,0,0,0,0,0,0
ERR531620,162,-101,672.8780005,2116.543022,353.2141094,150.8399963,42.18170005,19.02159991,81.3644993,14.28345646,1335.339986,182.7272601
ERR531621,27,-200,0,0,0,0,0,0,0,0,0,0
ERR531622,354,-100,0,0,0,0,0,0,0,0,0,0
ERR531623,123,-200,0,0,0,0,0,0,0,0,0,0
ERR531624,187,-100,463.1400008,2263.760015,215.8346024,99.75,65.49609996,12.02450006,81.00739999,14.23177484,1245.284983,41.29200001
ERR531625,113,-100,0,0,0,0,0,0,0,0,0,0
ERR531626,235,-100,0,0,0,0,0,0,0,0,0,0
ERR531627,349,-101,0,0,0,0,0,0,0,0,0,0
ERR531628,54,-200,0,0,0,0,0,0,0,0,0,0
ERR531629,158,-101,644.1799994,1562.060005,230.0921017,50,26.12239996,6.046999753,80.36539984,7.852659993,1034.759951,59.17900001
ERR531630,173,-101,266.8099918,2601.129987,296.7270031,384.3999969,116.1653988,14.16299963,82.73379946,50.2241097,4097.389981,124.7979968
ERR531631,203,-100,0,0,0,0,0,0,0,0,0,0
ERR531632,277,-101,0,0,0,0,0,0,0,0,0,0
ERR531633,136,-200,0,0,0,0,0,0,0,0,0,0
ERR531634,223,-100,0,0,0,0,0,0,0,0,0,0
ERR531635,228,-101,0,0,0,0,0,0,0,0,0,0
ERR531636,165,-200,0,0,0,0,0,0,0,0,0,0
ERR531637,125,-101,391.5507813,2339.964478,251.6982555,474.7600098,104.6849737,8.266233683,71.1196326,30.75041652,4096.103683,120.2250004
ERR531638,164,-100,611.54,1530.410001,270.0624008,100,33.49620003,11.03600001,45.76680005,15.15706001,1879.1,149.6327991
ERR531639,44,-200,0,0,0,0,0,0,0,0,0,0
ERR531640,151,-200,0,0,0,0,0,0,0,0,0,0
ERR531641,55,-101,469.4500012,2129.365028,296.292708,189.8400021,61.7771026,14.61350012,89.10150307,22.80034078,3684.125048,86.67700054
ERR531642,296,-100,0,0,0,0,0,0,0,0,0,0
ERR531643,140,-101,615.5200019,1164.699997,124.9838386,338.3600006,27.30676025,4.524799943,81.18267963,5.94418405,1851.09199,29.98059988
ERR531644,337,-101,0,0,0,0,0,0,0,0,0,0
ERR531645,72,-200,0,0,0,0,0,0,0,0,0,0
ERR531646,136,-101,1036.52,1653.312672,211.9596901,190.28,56.59200015,18.18000007,61.17864788,26.75644002,1432.468737,137.0832899
ERR531647,238,-100,0,0,0,0,0,0,0,0,0,0
ERR531648,185,-100,68.83999968,1568.789998,235.2438002,690,38.36739999,9.139999986,59.93279982,10.13101999,2055.219996,53.86999989
ERR531649,58,-200,0,0,0,0,0,0,0,0,0,0
ERR531650,79,-101,0,0,0,0,0,0,0,0,0,0
ERR531651,155,-100,451.059999,1567.480003,173.5723968,66.59999847,72.34049946,10.46333313,42.33946681,27.15296964,2334.21999,66.99566364
ERR531652,306,-101,0,0,0,0,0,0,0,0,0,0
ERR531653,20,-200,0,0,0,0,0,0,0,0,0,0
ERR531654,26,-200,0,0,0,0,0,0,0,0,0,0
ERR531655,122,-101,0,0,0,0,0,0,0,0,0,0
ERR531656,70,-100,287.3749995,2329.880072,272.1323965,422.1599998,98.70074978,11.24950004,93.28880035,42.037665,4334.717256,68.93939263
ERR531657,18,-100,399.8251216,2441.330138,337.7867348,141.5743902,93.30130704,34.25443919,74.78031916,31.70983216,3626.772865,125.7619185
ERR531658,208,-200,0,0,0,0,0,0,0,0,0,0
ERR531659,34,-100,530.352869,2575.513268,316.787137,323.6070328,91.96303183,8.014000058,133.3383017,27.824075,3518.543053,110.9904328
ERR531660,30,-200,0,0,0,0,0,0,0,0,0,0
ERR531661,112,-100,0,0,0,0,0,0,0,0,0,0
ERR531662,197,-101,230.1524998,1613.147789,316.6344841,30,27.00817129,36.73712156,39.11753964,9.016594999,715.854747,153.0484285
ERR531663,351,-100,0,0,0,0,0,0,0,0,0,0
ERR531664,343,-100,0,0,0,0,0,0,0,0,0,0
ERR531665,37,-200,0,0,0,0,0,0,0,0,0,0
ERR531666,79,-100,0,0,0,0,0,0,0,0,0,0
